stress_level,anchor,other,metric,n_pairs,median_a,median_b,mean_a,mean_b,median_diff,median_rel_diff_pct,wilcoxon_W,wilcoxon_p,ttest_t,ttest_p,cliffs_delta,holm_p,classification
moderate,full_stack,dqn_core_only,restoration_time_seconds,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,dqn_core_only,critical_load_restored_pct,30,100.0,100.0,100.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,dqn_core_only,switching_operations,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,dqn_core_only,frequency_deviation_count,30,5831.0,5831.0,6038.433333333333,6038.433333333333,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,dqn_core_only,actions_taken,30,200.0,200.0,200.0,200.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,dqn_core_only,runtime_s,30,1.2389999999999999,1.0033,1.3500733333333332,1.03048,0.2356999999999998,23.49247483305091,0.0,1.6499006192383092e-06,6.381665477580947,7.411358193820661e-10,1.0,0.0006335618377875107,SUPPORTED
moderate,full_stack,dqn_core_only,controller_runtime_s,30,0.12669999999999998,0.11915,0.13164333333333333,0.11584666666666667,0.007549999999999973,6.336550566512776,197.0,0.45902065253762236,3.1067942611443833,0.002719947286623059,0.44666666666666666,1.0,INCONCLUSIVE
moderate,full_stack,dqn_core_only,power_flow_runtime_s,30,0.4255,0.37670000000000003,0.46416666666666667,0.38910666666666666,0.048799999999999955,12.954605787098474,207.0,0.5928041527790369,3.863425030747431,0.0001931976777560518,0.7444444444444445,1.0,INCONCLUSIVE
severe,full_stack,persistence,stress_cumulative_unserved_energy,30,8364.414539892787,8239.249145687198,8385.047580682673,8335.0009268805,125.16539420558911,1.5191359308646035,158.0,0.12292171039167199,1.7926314220368949,0.08368160361496235,0.13333333333333333,1.0,INCONCLUSIVE
severe,full_stack,persistence,resilience_time_to_50pct_restoration,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
severe,full_stack,persistence,stress_critical_load_restored_pct,30,100.0,100.0,100.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
severe,full_stack,persistence,saidi,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
severe,full_stack,persistence,saifi,30,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
severe,full_stack,persistence,voltage_violation_count,30,7439.0,7442.0,7448.833333333333,7453.566666666667,-3.0,-0.040311744154797095,45.0,0.3786746169358659,-0.8019267545612628,0.43906067865470444,-0.044444444444444446,1.0,INCONCLUSIVE
severe,full_stack,persistence,line_overload_count,30,19.0,18.0,19.466666666666665,19.066666666666666,1.0,5.555555555555555,169.5,0.8688756254429553,0.7759356446042894,0.4540371228594,0.07444444444444444,1.0,INCONCLUSIVE
severe,full_stack,persistence,number_of_islands,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
severe,full_stack,persistence,resilience_loss_area,30,172.5,172.5,172.65508376277256,172.74441266621258,0.0,0.0,96.0,0.7228441829120982,-0.6719939642025143,0.5167210775211251,-0.05333333333333334,1.0,INCONCLUSIVE
severe,full_stack,persistence,resilience_time_to_90pct_restoration,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
severe,full_stack,persistence,stress_critical_load_interrupted_mw,30,2.5,2.4970244539605106,2.4514174032230516,2.426512776805599,0.002975546039489352,0.11916367237693094,70.0,0.1850685572477353,1.5993693083288583,0.12277416414832243,0.12444444444444444,1.0,INCONCLUSIVE
severe,full_stack,persistence,stress_critical_load_restored_mw,30,-2.5,-2.4970244539605106,-2.4514174032230516,-2.426512776805599,-0.002975546039489352,0.11916367237693094,70.0,0.1850685572477353,-1.5993693083288583,0.12277416414832243,-0.12444444444444444,1.0,INCONCLUSIVE
severe,full_stack,persistence,stress_cum_feasible_restoration_mw,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
severe,full_stack,persistence,stress_cum_unserved_restoration_mw,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
severe,full_stack,persistence,stress_restoration_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
severe,full_stack,persistence,ens,30,80.0,80.0,80.0,80.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
severe,full_stack,persistence,restoration_time_seconds,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
severe,full_stack,persistence,critical_load_restored_pct,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
severe,full_stack,persistence,switching_operations,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
severe,full_stack,persistence,frequency_deviation_count,30,9800.0,9800.0,9795.1,9796.733333333334,0.0,0.0,0.0,0.04550012432848183,-1.0,0.3345942481290314,-0.03333333333333333,1.0,INCONCLUSIVE
severe,full_stack,persistence,actions_taken,30,200.0,0.0,200.0,0.0,200.0,0.0,0.0,1.6499006192383092e-06,0.0,1.0,1.0,0.0006335618377875107,INCONCLUSIVE
